number,job,medium,beats covered,gender,local or foreign,freelance,type of death,suspected source of fire,impunity,taken captive,tortured,threatened
0,Producer,"Radio, Internet","Crime, Politics, War",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
1,Print Reporter,Print,"Human Rights, Politics",Male,Local,No,Dangerous Assignment,Government Officials,,,,
2,Camera Operator,Internet,War,Male,Local,Yes,Crossfire,Military Officials,,,,
3,Editor,Print,Politics,Male,Local,No,Murder,Unknown Fire,Complete Impunity,No,No,No
4,Internet Reporter,Internet,"Human Rights, Politics, War",Male,Local,No,Crossfire,Military Officials,,,,
5,Camera Operator,Internet,"Human Rights, War",Male,Local,No,Murder,Military Officials,Complete Impunity,No,No,No
6,Editor,Print,War,Male,Local,No,Murder,Political Group,Complete Impunity,No,No,Yes
7,Camera Operator,Internet,"Human Rights, War",Male,Local,Yes,Crossfire,Unknown Fire,,,,
8,Photographer,Print,"Culture, Sports",Male,Local,Yes,Crossfire,Political Group,,,,
9,Print Reporter,Print,War,Male,Local,No,Murder,Unknown Fire,Complete Impunity,No,No,No
10,Editor,Print,War,Male,Local,No,Murder,Unknown Fire,Complete Impunity,Yes,No,No
11,Broadcast Reporter,Television,Politics,Male,Foreign,No,Murder,Unknown Fire,Partial Impunity,No,No,No
12,"Camera Operator, Photographer","Print, Television",War,Male,Local,No,Crossfire,Political Group,,,,
13,Print Reporter,Print,Politics,Male,Local,Yes,Murder,Unknown Fire,Complete Impunity,No,No,No
14,Broadcast Reporter,Radio,"Corruption, Human Rights, War",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
15,Producer,"Radio, Television","Culture, Politics",Male,Local,Yes,Murder,Unknown Fire,Complete Impunity,No,No,No
16,Editor,Radio,"Culture, Human Rights, Politics",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
17,Producer,Radio,"Politics, War",Male,Local,No,Crossfire,Unknown Fire,,,,
18,Broadcast Reporter,"Radio, Television",Politics,Male,Local,Yes,Murder,Unknown Fire,Complete Impunity,No,No,Yes
19,Broadcast Reporter,"Radio, Television","Human Rights, Politics",Male,Local,Yes,Murder,"Government Officials, Military Officials",Complete Impunity,No,No,Yes
20,Editor,Radio,"Culture, Human Rights, Politics",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
21,Print Reporter,Print,"Politics, War",Male,Local,No,Crossfire,Military Officials,,,,
22,Print Reporter,Print,Politics,Male,Local,No,Dangerous Assignment,Government Officials,,,,
23,Broadcast Reporter,Television,"Crime, Politics, War",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,Yes
24,Broadcast Reporter,Television,"Politics, War",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,Yes
25,Broadcast Reporter,Television,"Politics, War",Male,Local,Yes,Murder,Political Group,Complete Impunity,No,No,No
26,Camera Operator,Television,War,Male,Local,No,Dangerous Assignment,Political Group,,,,
27,"Broadcast Reporter, Photographer, Publisher / Owner","Radio, Internet","Human Rights, Politics, War",Male,Local,No,Dangerous Assignment,Government Officials,,,,
28,"Photographer, Internet Reporter",Internet,War,Male,Local,No,Crossfire,Military Officials,,,,
29,Broadcast Reporter,Television,Crime,Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,No
30,Broadcast Reporter,Television,War,Male,Local,No,Crossfire,Military Officials,,,,
31,"Broadcast Reporter, Print Reporter","Print, Radio",Crime,Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,No
32,Photographer,Print,"Human Rights, Politics",Male,Local,Yes,Crossfire,Paramilitary Group,,,,
33,"Broadcast Reporter, Camera Operator",Television,"Politics, War",Male,Local,No,Dangerous Assignment,Political Group,,,,
34,Producer,Television,"Human Rights, Politics, War",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
35,Editor,Print,War,Male,Local,No,Murder,Military Officials,Complete Impunity,No,No,No
36,Broadcast Reporter,"Radio, Television",Politics,Male,Local,Yes,Murder,Political Group,Complete Impunity,No,No,No
37,Broadcast Reporter,Radio,Politics,Male,Local,Yes,Crossfire,Political Group,,,,
38,Photographer,Print,"Culture, War",Male,Local,Yes,Crossfire,Political Group,,,,
39,"Camera Operator, Photographer",Television,War,Male,Local,No,Crossfire,Political Group,,,,
40,"Photographer, Internet Reporter",Internet,"Human Rights, War",Male,Local,No,Crossfire,Military Officials,,,,
41,Broadcast Reporter,Television,"Politics, War",Male,Local,No,Crossfire,Military Officials,,,,
42,Broadcast Reporter,Radio,Politics,Male,Local,No,Dangerous Assignment,Paramilitary Group,,,,
43,Broadcast reporter,"Radio, Television",Politics,Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
44,Editor,Print,Politics,Male,Local,No,Murder,Unknown Fire,Partial Impunity,No,No,No
45,"Broadcast Reporter, Editor",Radio,Politics,Male,Local,No,Murder,Political Group,Complete Impunity,Yes,Yes,No
46,Editor,Radio,Politics,Male,Local,No,Crossfire,Political Group,,,,
47,Editor,Radio,"Human Rights, Politics",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
48,Broadcast Reporter,Radio,"Politics, War",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
49,Camera Operator,Television,"Business, Corruption, Crime, Culture, Human Rights, Politics, Sports",Male,Local,No,Dangerous Assignment,Local Residents,,,,
50,Broadcast Reporter,Television,War,Male,Local,No,Murder,Political Group,Complete Impunity,No,No,Yes
51,"Camera Operator, Photographer",Television,"Politics, War",Male,Local,No,Murder,Political Group,Complete Impunity,Yes,No,No
52,Print Reporter,Print,Human Rights,Male,Local,No,Dangerous Assignment,Political Group,,,,
53,Camera Operator,Television,War,Male,Local,No,Crossfire,Military Officials,,,,
