number,job,medium,beats covered,gender,local or foreign,freelance,type of death,suspected source of fire,impunity,taken captive,tortured,threatened
662,"Broadcast Reporter, Camera Operator",Television,War,Male,Local,Yes,Crossfire,Political Group,,,,
663,Broadcast Reporter,Television,"Human Rights, Politics, War",Male,Local,No,Dangerous Assignment,Political Group,,,,
664,Photographer,"Television, Internet",War,Male,Local,Yes,Crossfire,Political Group,,,,
665,"Camera Operator, Photographer","Television, Internet","Human Rights, War",Male,Local,Yes,Murder,Unknown Fire,Complete Impunity,No,No,No
666,Producer,Television,"Culture, Sports",Male,Local,No,Crossfire,Military Officials,,,,
667,Camera Operator,Television,War,Male,Local,Yes,Murder,Political Group,Complete Impunity,No,No,No
668,"Camera Operator, Photographer",Television,"Human Rights, Politics, War",Male,Local,No,Crossfire,Military Officials,,,,
669,Camera Operator,Television,War,Male,Local,No,Crossfire,Political Group,,,,
670,Print Reporter,Print,War,Male,Foreign,No,Murder,Political Group,Complete Impunity,No,No,No
671,Broadcast Reporter,Radio,Culture,Female,Local,No,Murder,Political Group,Complete Impunity,Yes,Yes,Yes
672,Print Reporter,Print,Politics,Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,No
673,Broadcast Reporter,Television,,Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
674,Columnist / Commentator,Print,"Corruption, Crime",Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,No
675,Print Reporter,Print,"Culture, Human Rights, Politics",Female,Foreign,Yes,Dangerous Assignment,Local Residents,,,,
676,Camera Operator,Television,"Human Rights, Business, Corruption, Crime, War, Politics",Male,Foreign,Yes,Dangerous Assignment,"Criminal Group, Local Residents, Military Officials, Paramilitary Group, Political Group",,,,
677,Print Reporter,Print,War,Male,Local,No,Murder,Paramilitary Group,Complete Impunity,No,No,No
678,Columnist / Commentator,Radio,"Corruption, Crime",Male,Local,Yes,Murder,Government Officials,Partial Impunity,No,No,Yes
679,Print Reporter,Print,War,Male,Foreign,Yes,Crossfire,Political Group,,,,
680,Broadcast Reporter,Radio,War,Male,Local,No,Murder,Military Officials,Complete Impunity,Yes,No,No
681,Print Reporter,Print,War,Male,Foreign,No,Crossfire,Military Officials,,,,
682,Columnist / Commentator,Print,"Corruption, Crime",Male,Local,No,Murder,Paramilitary Group,Complete Impunity,No,No,Yes
683,Editor,Print,Politics,Male,Local,No,Murder,Unknown Fire,Complete Impunity,No,No,No
684,Broadcast Reporter,Television,War,Male,Local,No,Murder,Unknown Fire,Complete Impunity,Yes,No,No
685,Print Reporter,Print,"Culture, Sports",Male,Local,No,Dangerous Assignment,Political Group,,,,
686,Editor,Print,Corruption,Female,Local,No,Murder,Government Officials,Full Justice,Yes,No,No
687,"Columnist/Commentator, Publisher/Owner",Print,"Corruption, Crime, Politics",Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,No
688,Editor,Print,"Human Rights, Politics, War",Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,Yes
689,Camera Operator,Internet,"Human Rights, War",Male,Local,No,Crossfire,Military Officials,,,,
690,Photographer,Print,War,Female,Local,Yes,Crossfire,Military Officials,,,,
691,Print Reporter,Print,Politics,Female,Local,No,Murder,Government Officials,Complete Impunity,Yes,Yes,No
692,Print Reporter,"Print, Internet","Culture, Human Rights, Politics",Male,Local,No,Dangerous Assignment,Unknown Fire,,,,
693,Internet Reporter,Internet,"Corruption, Crime, Politics",Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,Yes
694,"Internet Reporter, Columnist/Commentator",Internet,"Politics, Culture",Female,Local,No,Murder,"Criminal Group, Government Officials",Complete Impunity,No,No,Yes
695,Broadcast Reporter,"Television, Internet","Human Rights, Politics, War",Female,Foreign,Yes,Crossfire,"Military Officials, Political Group",,,,
696,Broadcast Reporter,Television,Politics,Male,Local,No,Murder,Unknown Fire,Complete Impunity,No,No,No
697,Editor,Television,"Culture, Human Rights, Politics",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
698,Print Reporter,Print,Politics,Male,Local,No,Murder,Government Officials,Complete Impunity,Yes,Yes,No
699,Print Reporter,Print,War,Female,Foreign,Yes,Murder,Unknown Fire,Complete Impunity,No,No,No
700,Camera Operator,Internet,"Human Rights, War",Male,Local,Yes,Crossfire,Unknown Fire,,,,
701,"Photographer, Camera Operator","Internet, Television",War,Male,Local,No,Crossfire,Political Group,,,,
702,Photographer,"Print, Internet",Politics,Male,Foreign,No,Dangerous Assignment,Military Officials,,,,
703,Columnist / Commentator,"Radio, Television",Crime,Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,Yes
704,"Broadcast Reporter, Producer, Publisher/Owner",Radio,"Business, Corruption, Politics",Male,Local,No,Murder,Local Residents,Partial Impunity,No,No,Yes
705,Photographer,Print,"Crime, Culture, Human Rights, Politics",Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,Yes
706,"Broadcast Reporter, Print Reporter","Print, Radio","Corruption, Human Rights, Politics, War",Male,Local,No,Murder,Paramilitary Group,Complete Impunity,No,No,Yes
707,Photographer,Print,Culture,Male,Local,No,Murder,Criminal Group,Complete Impunity,Yes,No,No
708,Internet Reporter,Internet,"Corruption, Crime",Male,Local,Yes,Murder,Criminal Group,Complete Impunity,No,No,No
709,Print Reporter,Print,"Corruption, Crime",Male,Local,No,Murder,Military Officials,Complete Impunity,No,No,Yes
710,Photographer,Print,Human Rights,Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,No
711,Columnist / Commentator,"Print, Radio",Corruption,Male,Local,No,Murder,Government Officials,Full Justice,No,No,Yes
712,"Photographer, Editor","Print, Internet","Culture, Human Rights, Politics",Male,Foreign,Yes,Murder,Political Group,Partial Impunity,Yes,No,No
713,Print Reporter,Print,War,Female,Local,No,Murder,Political Group,Complete Impunity,No,No,Yes
714,"Editor, Internet Reporter",Internet,"Corruption, Crime",Male,Local,No,Murder,Local Residents,Complete Impunity,No,No,Yes
715,Producer,Radio,Politics,Male,Local,No,Murder,Political Group,Complete Impunity,Yes,No,No
716,Print Reporter,Print,War,Male,Local,Yes,Murder,Political Group,Complete Impunity,Yes,No,No
717,Photographer,Print,"Corruption, Politics",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
718,Broadcast Reporter,Radio,Crime,Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,Yes
719,Publisher / Owner,Internet,"Corruption, Human Rights, Politics, War",Male,Local,No,Murder,Government Officials,Complete Impunity,Yes,No,Yes
720,Print Reporter,Print,"Politics, War",Male,Local,No,Murder,Military Officials,Complete Impunity,No,No,Yes
721,Producer,Television,"Politics, War",Female,Local,No,Crossfire,Military Officials,,,,
722,"Columnist / Commentator, Editor, Producer",Radio,War,Male,Local,No,Murder,Political Group,Partial Impunity,No,No,No
723,Broadcast Reporter,Radio,War,Male,Local,No,Crossfire,Paramilitary Group,,,,
724,Broadcast Reporter,"Radio, Internet",Politics,Male,Local,Yes,Murder,Political Group,Complete Impunity,No,No,No
725,"Internet Reporter, Producer","Radio, Internet","Politics, War",Female,Local,No,Murder,Political Group,Complete Impunity,No,No,No
726,Print Reporter,Print,"Politics, War",Male,Local,No,Dangerous Assignment,Government Officials,,,,
