number,job,medium,beats covered,gender,local or foreign,freelance,type of death,suspected source of fire,impunity,taken captive,tortured,threatened
331,"Broadcast Reporter, Camera Operator",Television,Politics,Male,Local,No,Dangerous Assignment,Government Officials,,,,
332,Publisher / Owner,Print,"Business, Culture, Human Rights, Politics",Male,Local,No,Murder,Political Group,Complete Impunity,Yes,No,No
333,"Columnist / Commentator, Editor","Print, Radio","Corruption, Crime",Male,Local,No,Murder,Government Officials,Partial Impunity,No,No,No
334,Photographer,Internet,"Crime, Culture",Male,Local,Yes,Murder,"Criminal Group, Government Officials",Complete Impunity,Yes,Yes,Yes
335,Columnist / Commentator,Television,"Crime, Human Rights",Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,No
336,"Broadcast Reporter, Columnist / Commentator",Radio,"Corruption, Crime, Politics",Male,Local,No,Murder,"Criminal Group, Political Group",Complete Impunity,No,No,No
337,"Editor, Publisher / Owner",Print,Politics,Male,Local,No,Murder,Unknown Fire,Partial Impunity,No,No,Yes
338,"Broadcast Reporter, Columnist / Commentator",Radio,"Corruption, Politics",Male,Local,No,Murder,Unknown Fire,Complete Impunity,No,No,Yes
339,"Editor, Publisher / Owner",Print,"Corruption, Politics",Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,Yes
340,Publisher / Owner,Internet,"Corruption, Crime",Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,Yes
341,Camera Operator,Television,Politics,Male,Local,Yes,Murder,Government Officials,Complete Impunity,Yes,No,Yes
342,Broadcast Reporter,Radio,War,Male,Local,No,Crossfire,Paramilitary Group,,,,
343,Columnist / Commentator,Radio,Human Rights,Male,Local,No,Murder,Paramilitary Group,Partial Impunity,No,No,Yes
344,Camera Operator,Television,Politics,Male,Local,No,Dangerous Assignment,"Criminal Group, Mob Violence",,,,
345,"Broadcast Reporter, Technician",Television,War,Male,Local,No,Dangerous Assignment,Unknown Fire,,,,
346,Internet Reporter,Internet,Politics,Male,Local,No,Dangerous Assignment,Political Group,,,,
347,Broadcast Reporter,Radio,Crime,Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,No
348,Print Reporter,Print,Crime,Male,Local,No,Murder,Unknown Fire,Complete Impunity,No,No,Yes
349,"Photographer, Print Reporter",Print,Crime,Male,Local,No,Murder,Criminal Group,Complete Impunity,Yes,Yes,No
350,Editor,Print,"Corruption, Politics",Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,Yes
351,Columnist / Commentator,Radio,"Corruption, Politics",Male,Local,No,Murder,Government Officials,Complete Impunity,No,Yes,Yes
352,Broadcast Reporter,Television,War,Male,Local,No,Crossfire,Military Officials,,,,
353,Columnist / Commentator,"Print, Internet",Culture,Female,Local,Yes,Murder,Political Group,Partial Impunity,No,No,Yes
