date,location,name,organization,type of death,url
"April 30, 2018","Kabul, Afghanistan",Abadullah Hananzai,"Radio Azadi,Radio Free Europe/Radio Liberty",Murder,https://cpj.org/data/people/abadullah-hananzai/index.php
"February 9, 1998","Addis Ababa, Ethiopia",Abay Hailu,Agiere,Dangerous Assignment,https://cpj.org/data/people/abay-hailu/index.php
"December 21, 2012","Homs, Syria",Abd al-Karim al-Ezzo,Freelance,Crossfire,https://cpj.org/data/people/abd-al-karim-al-ezzo/index.php
"February 10, 1996","Blida, Algeria",Abdallah Bouhachek,Révolution et Travail,Murder,https://cpj.org/data/people/abdallah-bouhachek/index.php
"September 5, 2013","Jobar, Damascus, Syria",Abdel Aziz Mahmoud Hasoun,Masar Press,Crossfire,https://cpj.org/data/people/abdel-aziz-mahmoud-hasoun/index.php
"September 19, 2012","Hama, Syria",Abdel Karim al-Oqda,Shaam News Network,Murder,https://cpj.org/data/people/abdel-karim-al-oqda/index.php
"September 9, 2006","Baghdad, Iraq",Abdel Karim al-Rubai,Al-Sabah,Murder,https://cpj.org/data/people/abdel-karim-al-rubai/index.php
"January 31, 2013","Arbin, Syria",Abdel Karim Nazir Ismail,Freelance,Crossfire,https://cpj.org/data/people/abdel-karim-nazir-ismail/index.php
"February 1, 2004","Arbil, Iraq",Abdel Sattar Abdel Karim,Al Ta'akhy,Crossfire,https://cpj.org/data/people/abdel-sattar-abdel-karim/index.php
"August 9, 1993","Algiers, Algeria",Abdelhamid Benmeni,Algérie-Actualité,Murder,https://cpj.org/data/people/abdelhamid-benmeni/index.php
"January 12, 1995","Baraki, Algiers, Algeria",Abdelhamid Yahiaoui,El-Chaab,Murder,https://cpj.org/data/people/abdelhamid-yahiaoui/index.php
"February 28, 1994","Algiers, Algeria",Abdelkader Hireche,Algerian Television (ENTV),Murder,https://cpj.org/data/people/abdelkader-hireche/index.php
"July 21, 2016","Sirte, Libya",Abdelqadir Fassouk,Arraed Satellite TV,Crossfire,https://cpj.org/data/people/abdelqadir-fassouk/index.php
"September 28, 1993","Algiers, Algeria",Abderrahmane Chergou,Freelance,Murder,https://cpj.org/data/people/abderrahmane-chergou/index.php
"September 27, 2016","Mogadishu, Somalia",Abdiaziz Ali,Radio Shabelle,Murder,https://cpj.org/data/people/abdiaziz-ali/index.php
"January 18, 2013","Mogadishu, Somalia",Abdihared Osman Aden,Shabelle Media Network,Murder,https://cpj.org/data/people/abdihared-osman-aden/index.php
"September 20, 2012","Mogadishu, Somalia",Abdirahman Yasin Ali,Radio Hamar,Murder,https://cpj.org/data/people/abdirahman-yasin-ali/index.php
"May 22, 2009","Mogadishu, Somalia",Abdirisak Mohamed Warsame,Radio Shabelle,Crossfire,https://cpj.org/data/people/abdirisak-mohamed-warsame/index.php
"November 16, 2014","Galkayo, Puntland, Somalia",Abdirizak Ali Abdi,Freelance,Murder,https://cpj.org/data/people/abdirizak-ali-abdi/index.php
"December 18, 2011","Mogadishu, Somalia",Abdisalan Sheikh Hassan,Freelance,Murder,https://cpj.org/data/people/abdisalan-sheikh-hassan/index.php
"September 20, 2012","Mogadishu, Somalia",Abdisatar Daher Sabriye,Radio Mogadishu,Murder,https://cpj.org/data/people/abdisatar-daher-sabriye/index.php
"August 29, 2008","Swat, Pakistan",Abdul Aziz Shaheen,Azadi,Crossfire,https://cpj.org/data/people/abdul-aziz-shaheen/index.php
"February 3, 2017","Shahjadpur, Bangladesh",Abdul Hakim Shimul,Samakal,Dangerous Assignment,https://cpj.org/data/people/abdul-hakim-shimul/index.php
"September 29, 2012","Khuzdar, Pakistan",Abdul Haq Baloch,ARY Television,Murder,https://cpj.org/data/people/abdul-haq-baloch/index.php
"April 25, 2018","Kandahar, Afghanistan",Abdul Manan Arghand,Kabul News,Murder,https://cpj.org/data/people/abdul-manan-arghand/index.php
"May 28, 2012","Quetta, Pakistan",Abdul Qadir Hajizai,WASH TV,Murder,https://cpj.org/data/people/abdul-qadir-hajizai/index.php
"July 22, 2006","Kandahar, Afghanistan",Abdul Qodus,Aryana TV,Dangerous Assignment,https://cpj.org/data/people/abdul-qodus/index.php
Unknown in 2013,"Damascus, Syria",Abdul Raheem Kour Hassan,Watan FM,Dangerous Assignment,https://cpj.org/data/people/abdul-raheem-kour-hassan/index.php
"February 20, 2018","Hammouriyeh, Syria",Abdul Rahman Ismael Yassin,Hammouriyeh Media Office,Crossfire,https://cpj.org/data/people/abdul-rahman-ismael-yassin/index.php
"November 3, 2008","Punjab, Pakistan",Abdul Razzak Johra,Royal TV,Murder,https://cpj.org/data/people/abdul-razzak-johra/index.php
"October 31, 2016","Zafraneh, Syria",Abdul Salam Kanaan,Al-Jisr TV,Crossfire,https://cpj.org/data/people/abdul-salam-kanaan/index.php
"June 7 or 8, 2008","Lashkar Gah, Afghanistan",Abdul Samad Rohani,BBC and Pajhwok Afghan News,Murder,https://cpj.org/data/people/abdul-samad-rohani/index.php
"January 9, 1994","Katlehong Township, South Africa",Abdul Shariff,freelance,Crossfire,https://cpj.org/data/people/abdul-shariff/index.php
"December 6, 2010","Ghalanai, Pakistan",Abdul Wahab,Express News,Dangerous Assignment,https://cpj.org/data/people/abdul-wahab/index.php
"October 12, 2006","Baghdad, Iraq",Abdul-Rahim Nasrallah al-Shimari,Al-Shaabiya,Murder,https://cpj.org/data/people/abdul-rahim-nasrallah-al-shimari/index.php
"February 3, 1999","Freetown, Sierra Leone",Abdulai Jumah Jalloh,African Champion,Murder,https://cpj.org/data/people/abdulai-jumah-jalloh/index.php
"December 5, 2014","Baidoa, Somalia",Abdulkadir Ahmed,Freelance,Murder,https://cpj.org/data/people/abdulkadir-ahmed/index.php
"August 24, 2007","Bardera, Somalia",Abdulkadir Mahad Moallim Kaskey,Radio Banadir,Crossfire,https://cpj.org/data/people/abdulkadir-mahad-moallim-kaskey/index.php
